"nNames","P38","P40","P42","P43","P44","P46","P48","P49","P51","P57","P58","P140","P154","P155","P156","P157","P158","P160","P162","P246","P248","P264","P266","P372","P492","P596","P609","P633","P823","P826","P827","P830","P831","P842","P844","P846","P847","P850","P851","P852","P853","P855","P858","P859","P861","P866","P871","P1044","P1045"
" J236",0.03,0.13,0,0,0.46,0,0,0,0,-0.06,-0.06,0,0.46,0.13,-0.07,0.31,0.38,0.38,-0.06,0.22,0.15,0,-0.07,"n--0.13","-0.07",0.06,0.09,0,"n--0.22",0.22,0.09,"0.09",0.28,0.04,0.07,0.08,0.08,0.06,0.03,0.13,0.59,0,0,0,0,0,0,0.59,0.59
" J237",0.03,0.13,0,0,0.44,0,0,0,0,-0.06,-0.06,0,0.44,0.13,-0.07,0.3,0.36,0.36,-0.06,0.21,0.15,0,-0.07,"n--0.13","-0.07",0.05,0.09,0,"0.36",0.21,0.09,"0.09",0.27,0.04,0.07,0.07,0.07,0.06,0.03,0.13,0.57,0,0,0,0,0,0,0.57,0.57
" J241",0.04,0.15,0,0,0.44,0,0,0,0,0.05,0.05,0,0.44,0.15,-0.2,0,0,0,0.05,0.05,0.43,0.59,0.38,"n--0.15","-0.2",0.07,0.1,0,"0",0,0,"0",0,0.05,0.08,0.09,0.09,0.07,0.03,0.15,0.59,0,0,0,0,0,0,0.59,0.59
" J242",0.04,0.15,0,0,0.44,0,0,0,0,0.05,0.05,0,0.44,0.15,-0.21,0,0,0,0.05,0.05,0.43,0,0.38,"n--0.15","-0.21",0.07,0.1,0,"0",0,0,"0",0,0.05,0.08,0.09,0.09,0.07,0.03,0.15,0.59,0,0,0,0,0,0,0.59,0.59
" J243",0.04,0.17,0,0,0.43,0,0,0,0,0.11,0.11,0,0.43,0.17,0.32,0,0,0,0.11,0.1,0.43,0,0.32,"n--0.17","n--0.28",0.07,0.12,0,"0",0,0,"0",0,0.05,0.09,0.1,0.1,0.08,0.04,0.17,0.6,0,0,0,0,0,0,0.6,0.6
" J244",0.03,0.13,0,0,0.47,0,0,0,0,-0.06,-0.06,0,0.47,0.13,-0.07,0.39,0.04,0.04,-0.06,0.15,0.07,0,-0.07,"n--0.13","-0.07",0.06,0.09,0,"0.04",-0.04,-0.17,"n--0.17",0.21,0.04,0.07,0.08,0.08,0.06,0.03,0.13,0.6,0,0,0,0,0,0,0.6,0.6
" J245",0.03,0.13,0,0,0.47,0,0,0,0,-0.05,-0.05,0,0.47,0.13,-0.08,0,0,0,-0.05,-0.05,-0.13,0,-0.08,"n--0.13","-0.08",0.06,0.09,0,"0",0,0,"0",0,0.04,0.07,0.07,0.07,0.06,0.03,0.13,0.6,0,0,0,0,0,0,0.6,0.6
" J246",0.03,0.13,0,0,0.46,0,0,0,0,-0.06,-0.06,0,0.46,0.13,-0.07,0.3,-0.17,0.43,-0.06,0.24,0.17,0,-0.07,"n--0.13","-0.07",0.06,0.09,0,"n--0.17",0.17,0.13,"0.13",0.3,0.04,0.07,0.08,0.08,0.06,0.03,0.13,0.6,0,0,0,0,0,0,0.6,0.6
" J247",0.03,0.13,0,0,0.46,0,0,0,0,-0.06,-0.06,0,0.46,0.13,-0.07,0.28,-0.04,-0.04,-0.06,0.24,0.17,0,-0.07,"n--0.13","-0.07",0.06,0.09,0,"-0.04",0.04,0.24,"n--0.35",0.3,0.04,0.07,0.07,0.07,0.06,0.03,0.13,0.59,0,0,0,0,0,0,0.59,0.59
" J248",0.03,0.13,0,0,0.46,0,0,0,0,-0.06,-0.06,0,0.46,0.13,-0.07,0.26,-0.07,-0.07,-0.06,0.27,0.2,0,-0.07,"n--0.13","-0.07",0.06,0.09,0,"-0.06",0.07,0.19,"0.19",0.33,0.04,0.07,0.08,0.08,0.06,0.03,0.13,0.59,0,0,0,0,0,0,0.59,0.59
" J249",0.03,0.14,0,0,0.46,0,0,0,0,-0.08,-0.08,0,0.46,0.14,-0.06,0.01,0,0,-0.08,0.51,0.46,0,-0.06,"n--0.14","-0.06",0.06,0.09,0,"0",0,0.01,"0.01",-0.01,0.04,0.07,0.08,0.08,0.06,0.03,0.14,0.6,0,0,0,0,0,0,0.6,0.6
" J250",0.03,0.13,0,0,0.46,0,0,0,0,-0.05,-0.05,0,0.46,0.13,-0.08,0,0,0,-0.05,-0.05,0.46,0,-0.08,"n--0.13","-0.08",0.06,0.09,0,"0",0,0,"0",0,0.04,0.07,0.08,0.08,0.06,0.03,0.13,0.59,0,0,0,0,0,0,0.59,0.59
