		LENGHT	DIAMETER	ROUGHNESS	FLOW	VELOCITY	UNITHEADLOSS	FRICTIONFACTOR
		m	mm		LPS	m/s	m/km	
p1	00:00:00	150.00	200.00	0.25	8.51	0.27	0.46	0.02
p2	00:00:00	150.00	200.00	0.25	8.51	0.27	0.46	0.02
p3	00:00:00	150.00	200.00	0.25	4.03	0.13	0.12	0.03
p4	00:00:00	150.00	200.00	0.25	4.03	0.13	0.12	0.03
p7	00:00:00	150.00	200.00	0.25	8.77	0.28	0.49	0.02
p8	00:00:00	150.00	200.00	0.25	8.77	0.28	0.49	0.02
p9	00:00:00	150.00	200.00	0.25	3.49	0.11	0.09	0.03
p10	00:00:00	150.00	200.00	0.25	3.49	0.11	0.09	0.03
p13	00:00:00	215.00	200.00	0.25	9.93	0.32	0.62	0.02
p15	00:00:00	215.00	200.00	0.25	5.25	0.17	0.19	0.03
p16	00:00:00	215.00	200.00	0.25	1.79	0.06	0.03	0.03
p14	00:00:00	215.00	200.00	0.25	2.90	0.09	0.06	0.03
p100	00:00:00	50.00	200.00	0.25	27.21	0.87	4.27	0.02
p5	00:00:00	215.00	200.00	0.25	6.27	0.20	0.26	0.03
p6	00:00:00	215.00	200.00	0.25	3.73	0.12	0.10	0.03
p101	00:00:00	50.00	200.00	0.25	10.00	0.32	0.63	0.02
p11	00:00:00	215.00	200.00	0.25	8.18	0.26	0.43	0.02
p12	00:00:00	215.00	200.00	0.25	6.82	0.22	0.30	0.03
p102	00:00:00	50.00	200.00	0.25	15.00	0.48	1.35	0.02
