		LENGHT	DIAMETER	ROUGHNESS	FLOW	VELOCITY	UNITHEADLOSS	FRICTIONFACTOR
		m	mm		LPS	m/s	m/km	
p1	00:00:00	150.00	200.00	0.25	8.47	0.27	0.46	0.02
p2	00:00:00	150.00	200.00	0.25	8.47	0.27	0.46	0.02
p3	00:00:00	150.00	200.00	0.25	3.54	0.11	0.09	0.03
p4	00:00:00	150.00	200.00	0.25	3.54	0.11	0.09	0.03
p7	00:00:00	150.00	200.00	0.25	8.69	0.28	0.48	0.02
p8	00:00:00	150.00	200.00	0.25	8.69	0.28	0.48	0.02
p9	00:00:00	150.00	200.00	0.25	3.01	0.10	0.07	0.03
p10	00:00:00	150.00	200.00	0.25	3.01	0.10	0.07	0.03
p13	00:00:00	215.00	200.00	0.25	10.01	0.32	0.63	0.02
p15	00:00:00	215.00	200.00	0.25	4.43	0.14	0.14	0.03
p16	00:00:00	215.00	200.00	0.25	1.07	0.03	0.01	0.04
p14	00:00:00	215.00	200.00	0.25	2.34	0.07	0.04	0.03
p100	00:00:00	50.00	200.00	0.25	27.17	0.86	4.26	0.02
p5	00:00:00	215.00	200.00	0.25	6.00	0.19	0.24	0.03
p6	00:00:00	215.00	200.00	0.25	4.00	0.13	0.11	0.03
p101	00:00:00	50.00	200.00	0.25	10.00	0.32	0.63	0.02
p11	00:00:00	215.00	200.00	0.25	8.02	0.26	0.41	0.02
p12	00:00:00	215.00	200.00	0.25	6.98	0.22	0.32	0.03
p102	00:00:00	50.00	200.00	0.25	15.00	0.48	1.35	0.02
