		ELEVATION	BASEDEMAND	PRESSURE	HEAD	DEMAND
		m	LPS	m	m	LPS
1	00:00:00	0.00	0.00	19.79	19.79	0.00
2	00:00:00	0.00	0.00	19.66	19.66	0.00
3	00:00:00	0.00	0.00	19.63	19.63	0.00
4	00:00:00	0.00	0.00	19.65	19.65	0.00
5	00:00:00	0.00	0.00	19.66	19.66	0.00
6	00:00:00	0.00	0.00	19.70	19.70	2.22
7	00:00:00	0.00	0.00	19.72	19.72	0.00
9	00:00:00	0.00	0.00	19.64	19.64	0.00
8	00:00:00	0.00	0.00	19.65	19.65	0.00
101	00:00:00	0.00	0.00	19.61	19.61	0.00
101d	00:00:00	0.00	10.00	19.58	19.58	10.00
102	00:00:00	0.00	0.00	19.56	19.56	0.00
102d	00:00:00	0.00	15.00	19.49	19.49	15.00
100r	00:00:00	20.00	0.00	0.00	20.00	-27.22
