		LENGHT	DIAMETER	ROUGHNESS	FLOW	VELOCITY	UNITHEADLOSS	FRICTIONFACTOR
		m	mm		LPS	m/s	m/km	
p1	00:00:00	150.00	200.00	0.25	7.81	0.25	0.39	0.02
p2	00:00:00	150.00	200.00	0.25	7.81	0.25	0.39	0.02
p3	00:00:00	150.00	200.00	0.25	3.50	0.11	0.09	0.03
p4	00:00:00	150.00	200.00	0.25	3.50	0.11	0.09	0.03
p7	00:00:00	150.00	200.00	0.25	8.08	0.26	0.42	0.02
p8	00:00:00	150.00	200.00	0.25	8.08	0.26	0.42	0.02
p9	00:00:00	150.00	200.00	0.25	2.90	0.09	0.06	0.03
p10	00:00:00	150.00	200.00	0.25	2.90	0.09	0.06	0.03
p13	00:00:00	215.00	200.00	0.25	9.11	0.29	0.52	0.02
p15	00:00:00	215.00	200.00	0.25	4.62	0.15	0.15	0.03
p16	00:00:00	215.00	200.00	0.25	1.68	0.05	0.02	0.03
p14	00:00:00	215.00	200.00	0.25	2.81	0.09	0.06	0.03
p100	00:00:00	50.00	200.00	0.25	27.14	0.86	4.24	0.02
p5	00:00:00	215.00	200.00	0.25	5.98	0.19	0.24	0.03
p6	00:00:00	215.00	200.00	0.25	4.02	0.13	0.11	0.03
p101	00:00:00	50.00	200.00	0.25	10.00	0.32	0.63	0.02
p11	00:00:00	215.00	200.00	0.25	7.99	0.25	0.41	0.02
p12	00:00:00	215.00	200.00	0.25	7.01	0.22	0.32	0.03
p102	00:00:00	50.00	200.00	0.25	15.00	0.48	1.35	0.02
