		LENGHT	DIAMETER	ROUGHNESS	FLOW	VELOCITY	UNITHEADLOSS	FRICTIONFACTOR
		m	mm		LPS	m/s	m/km	
P163	00:00:00	67.74	203.00	94.23	1.18	0.04	0.02	0.06
P165	00:00:00	143.81	305.00	92.93	36.72	0.50	1.73	0.04
P166	00:00:00	235.00	101.60	93.60	4.37	0.54	6.98	0.05
P17	00:00:00	32.42	508.00	77.28	165.33	0.82	3.28	0.05
P174	00:00:00	278.59	102.00	89.32	0.96	0.12	0.45	0.07
P177	00:00:00	56.80	102.00	100.61	0.79	0.10	0.25	0.05
P18	00:00:00	283.30	508.00	100.30	162.71	0.80	1.97	0.03
P184	00:00:00	59.38	101.60	95.91	8.33	1.03	22.07	0.04
P19	00:00:00	750.87	508.00	97.70	52.44	0.26	0.25	0.04
P195	00:00:00	144.33	76.00	80.63	1.09	0.24	2.89	0.07
P2	00:00:00	295.25	203.00	62.05	7.10	0.22	1.26	0.10
P20	00:00:00	579.67	508.00	89.67	38.85	0.19	0.17	0.05
P201	00:00:00	102.19	76.00	96.63	0.78	0.17	1.11	0.06
P21	00:00:00	176.48	406.00	86.69	17.35	0.13	0.12	0.05
P211	00:00:00	202.33	76.00	84.05	0.62	0.14	0.96	0.08
P215	00:00:00	140.76	254.00	81.42	21.61	0.43	2.01	0.06
P218	00:00:00	54.55	102.00	81.77	0.71	0.09	0.31	0.08
P219	00:00:00	67.98	102.00	86.84	0.36	0.04	0.08	0.08
P22	00:00:00	567.30	406.00	81.11	192.05	1.48	11.81	0.04
P220	00:00:00	68.33	76.00	93.74	0.75	0.17	1.10	0.06
P223	00:00:00	108.98	203.00	93.22	0.76	0.02	9.53e-03	0.07
P225	00:00:00	120.77	102.00	92.69	0.09	0.01	5.59e-03	0.09
P228	00:00:00	42.72	76.00	99.29	1.78	0.39	4.91	0.05
P23	00:00:00	316.91	508.00	77.16	190.96	0.94	4.30	0.05
P230	00:00:00	114.61	76.00	77.40	1.77	0.39	7.67	0.08
P231	00:00:00	12.21	76.00	98.42	1.44	0.32	3.35	0.05
P233	00:00:00	58.66	76.00	97.30	0.60	0.13	0.67	0.06
P234	00:00:00	41.63	76.00	87.21	1.19	0.26	2.97	0.06
P235	00:00:00	92.74	76.00	84.32	4.81	1.06	41.62	0.06
P237	00:00:00	12.01	305.00	5.06	49.02	0.67	646.72	8.60
P238	00:00:00	12.59	304.80	104.74	49.02	0.67	2.37	0.03
P24	00:00:00	71.05	508.00	88.62	171.20	0.84	2.72	0.04
P241	00:00:00	49.46	102.00	114.84	0.49	0.06	0.08	0.05
P242	00:00:00	25.06	152.40	99.01	1.93	0.11	0.19	0.05
P243	00:00:00	57.08	203.20	82.80	4.25	0.13	0.29	0.07
P245	00:00:00	18.65	152.40	120.40	34.77	1.91	28.36	0.02
P246	00:00:00	56.94	152.40	121.60	22.43	1.23	12.36	0.02
P248	00:00:00	6.96	152.40	110.07	21.55	1.18	13.81	0.03
P249	00:00:00	28.43	51.00	85.38	0.59	0.29	5.82	0.07
P25	00:00:00	4.30	508.00	74.38	186.32	0.92	4.40	0.05
P251	00:00:00	11.49	152.00	103.73	17.64	0.97	10.74	0.03
P252	00:00:00	135.44	305.00	82.30	49.02	0.67	3.69	0.05
P255	00:00:00	76.14	51.00	71.47	0.18	0.09	0.88	0.12
P256	00:00:00	55.17	305.00	94.86	49.02	0.67	2.84	0.04
P258	00:00:00	79.53	102.00	75.51	0.03	3.35e-03	8.51e-04	0.15
P259	00:00:00	136.09	102.00	83.09	0.15	0.02	0.02	0.10
P26	00:00:00	22.94	508.00	88.01	3.84	0.02	2.43e-03	0.07
P264	00:00:00	11.73	101.60	112.51	0.45	0.06	0.07	0.05
P266	00:00:00	55.29	101.60	107.06	0.80	0.10	0.23	0.05
P267	00:00:00	344.62	152.40	95.59	0.29	0.02	6.03e-03	0.07
P268	00:00:00	146.46	152.40	86.84	1.98	0.11	0.26	0.07
P27	00:00:00	163.63	254.00	69.11	1.69	0.03	0.02	0.11
P270	00:00:00	88.36	101.60	92.77	0.84	0.10	0.33	0.06
P272	00:00:00	143.88	102.00	73.95	1.29	0.16	1.11	0.09
P275	00:00:00	172.96	152.40	98.16	0.72	0.04	0.03	0.06
P28	00:00:00	117.42	152.00	88.27	0.82	0.05	0.05	0.07
P280	00:00:00	333.40	203.00	88.34	6.35e-08	1.96e-09	7.14e-11	0.00
P282	00:00:00	131.93	102.00	86.72	2.77	0.34	3.39	0.06
P284	00:00:00	198.97	76.20	89.13	0.84	0.19	1.48	0.06
P285	00:00:00	130.71	76.20	90.18	0.08	0.02	0.02	0.09
P286	00:00:00	155.58	101.60	90.01	0.35	0.04	0.07	0.08
P287	00:00:00	45.12	254.00	78.35	21.61	0.43	2.16	0.06
P288	00:00:00	226.74	76.20	85.05	1.51	0.33	4.71	0.06
P29	00:00:00	20.51	152.00	89.48	0.72	0.04	0.04	0.07
P290	00:00:00	46.28	76.20	89.44	0.32	0.07	0.25	0.07
P291	00:00:00	132.94	305.00	107.08	49.02	0.67	2.27	0.03
P292	00:00:00	13.54	305.00	97.27	49.02	0.67	2.71	0.04
P293	00:00:00	125.20	305.00	92.16	49.02	0.67	2.99	0.04
P294	00:00:00	101.20	102.00	79.97	1.40	0.17	1.12	0.08
P295	00:00:00	133.23	76.00	72.41	3.69	0.81	33.86	0.08
P296	00:00:00	231.87	76.00	82.96	0.81	0.18	1.58	0.07
P297	00:00:00	42.53	406.00	73.00	109.76	0.85	5.09	0.06
P298	00:00:00	40.11	305.00	84.55	79.66	1.09	8.63	0.04
P299	00:00:00	61.51	102.00	87.71	2.33	0.29	2.42	0.06
P3	00:00:00	136.52	300.00	73.65	13.73	0.19	0.47	0.07
P30	00:00:00	40.89	254.00	86.71	1.65	0.03	0.02	0.07
P301	00:00:00	45.31	305.00	85.19	79.10	1.08	8.40	0.04
P302	00:00:00	178.28	305.00	80.34	78.90	1.08	9.32	0.05
P303	00:00:00	131.94	76.00	88.33	0.74	0.16	1.21	0.07
P304	00:00:00	268.74	101.60	89.39	0.45	0.06	0.11	0.07
P305	00:00:00	43.41	203.00	90.80	6.64e-09	2.05e-10	2.44e-10	0.00
P307	00:00:00	47.30	305.00	60.51	77.91	1.07	15.39	0.08
P308	00:00:00	334.57	305.00	88.08	49.02	0.67	3.26	0.04
P309	00:00:00	128.80	101.60	94.96	0.70	0.09	0.23	0.06
P31	00:00:00	144.67	152.00	108.77	5.15	0.28	1.01	0.04
P310	00:00:00	9.00	610.00	87.27	193.20	0.66	1.44	0.04
P316	00:00:00	11.62	610.00	70.45	193.20	0.66	2.13	0.06
P319	00:00:00	10.54	610.00	76.59	2.66e-05	9.09e-08	1.64e-12	0.00
P32	00:00:00	84.44	152.00	103.56	8.34	0.46	2.70	0.04
P320	00:00:00	11.47	610.00	76.52	96.59	0.33	0.51	0.06
P322	00:00:00	11.50	610.00	89.43	96.59	0.33	0.38	0.04
P323	00:00:00	11.47	610.00	84.69	3.78e-05	1.29e-07	2.27e-12	1.62
P329	00:00:00	134.52	152.00	100.18	2.26	0.12	0.26	0.05
