		LENGHT	DIAMETER	ROUGHNESS	FLOW	VELOCITY	UNITHEADLOSS	FRICTIONFACTOR
		m	mm		LPS	m/s	m/km	
P258	54:00:00	79.53	102.00	75.51	0.02	2.55e-03	5.13e-04	0.16
P259	54:00:00	136.09	102.00	83.09	0.12	0.01	0.01	0.10
P26	54:00:00	22.94	508.00	88.01	2.93	0.01	1.47e-03	0.07
P264	54:00:00	11.73	101.60	112.51	0.34	0.04	0.04	0.05
P266	54:00:00	55.29	101.60	107.06	1.05	0.13	0.39	0.05
P267	54:00:00	344.62	152.40	95.59	0.16	8.86e-03	2.08e-03	0.08
P268	54:00:00	146.46	152.40	86.84	1.11	0.06	0.09	0.07
P27	54:00:00	163.63	254.00	69.11	1.29	0.03	0.01	0.11
P270	54:00:00	88.36	101.60	92.77	0.47	0.06	0.11	0.07
P272	54:00:00	143.88	102.00	73.95	0.97	0.12	0.65	0.09
P275	54:00:00	172.96	152.40	98.16	0.41	0.02	0.01	0.07
P28	54:00:00	117.42	152.00	88.27	0.62	0.03	0.03	0.08
P280	54:00:00	333.40	203.00	88.34	2.38e-05	7.34e-07	4.71e-11	0.00
P282	54:00:00	131.93	102.00	86.72	2.11	0.26	2.05	0.06
P284	54:00:00	198.97	76.20	89.13	0.48	0.10	0.51	0.07
P285	54:00:00	130.71	76.20	90.18	0.05	9.92e-03	6.41e-03	0.10
P286	54:00:00	155.58	101.60	90.01	0.20	0.02	0.02	0.08
P287	54:00:00	45.12	254.00	78.35	82.59	1.63	25.91	0.05
P288	54:00:00	226.74	76.20	85.05	0.85	0.19	1.62	0.07
P29	54:00:00	20.51	152.00	89.48	0.55	0.03	0.02	0.07
P290	54:00:00	46.28	76.20	89.44	0.18	0.04	0.09	0.08
P291	54:00:00	132.94	305.00	107.08	1.30e-04	1.78e-06	1.06e-10	0.20
P292	54:00:00	13.54	305.00	97.27	1.30e-04	1.77e-06	1.25e-10	0.24
P293	54:00:00	125.20	305.00	92.16	1.30e-04	1.78e-06	1.39e-10	0.26
P294	54:00:00	101.20	102.00	79.97	1.07	0.13	0.68	0.08
P295	54:00:00	133.23	76.00	72.41	2.81	0.62	20.43	0.08
P296	54:00:00	231.87	76.00	82.96	0.43	0.09	0.18	0.03
P297	54:00:00	42.53	406.00	73.00	86.37	0.67	3.27	0.06
P298	54:00:00	40.11	305.00	84.55	62.67	0.86	5.54	0.05
P299	54:00:00	61.51	102.00	87.71	1.78	0.22	1.46	0.06
P3	54:00:00	136.52	300.00	73.65	12.67	0.18	0.40	0.07
P30	54:00:00	40.89	254.00	86.71	1.26	0.02	9.25e-03	0.07
P301	54:00:00	45.31	305.00	85.19	62.25	0.85	5.39	0.04
P302	54:00:00	178.28	305.00	80.34	62.09	0.85	5.98	0.05
P303	54:00:00	131.94	76.00	88.33	0.57	0.12	0.73	0.07
P304	54:00:00	268.74	101.60	89.39	0.25	0.03	0.04	0.08
P305	54:00:00	43.41	203.00	90.80	2.40e-05	7.40e-07	4.55e-11	0.00
P307	54:00:00	47.30	305.00	60.51	61.53	0.84	9.94	0.08
P308	54:00:00	334.57	305.00	88.08	1.30e-04	1.78e-06	1.52e-10	0.29
P309	54:00:00	128.80	101.60	94.96	0.56	0.07	0.15	0.06
P31	54:00:00	144.67	152.00	108.77	5.23	0.29	1.04	0.04
P310	54:00:00	9.00	610.00	87.27	184.92	0.63	1.32	0.04
P316	54:00:00	11.62	610.00	70.45	184.92	0.63	1.97	0.06
P319	54:00:00	10.54	610.00	76.59	2.98e-05	1.02e-07	1.64e-12	1.89
P32	54:00:00	84.44	152.00	103.56	8.56	0.47	2.83	0.04
P320	54:00:00	11.47	610.00	76.52	92.45	0.32	0.47	0.06
P322	54:00:00	11.50	610.00	89.43	92.45	0.32	0.35	0.04
P323	54:00:00	11.47	610.00	84.69	3.86e-05	1.32e-07	2.27e-12	1.55
P329	54:00:00	134.52	152.00	100.18	1.27	0.07	0.09	0.05
P33	54:00:00	22.81	254.00	73.04	7.07	0.14	0.31	0.08
P330	54:00:00	66.79	76.00	96.42	0.60	0.13	0.68	0.06
P331	54:00:00	93.46	51.00	93.19	0.25	0.12	0.98	0.07
P336	54:00:00	182.99	152.00	92.17	1.87	0.10	0.21	0.06
P337	54:00:00	20.49	305.00	5.62	18.59	0.25	88.21	8.16
P338	54:00:00	74.38	76.00	100.36	0.09	0.02	0.02	0.07
P339	54:00:00	307.49	102.00	88.65	0.55	0.07	0.17	0.07
P34	54:00:00	98.00	508.00	78.51	172.36	0.85	3.45	0.05
P340	54:00:00	96.21	305.00	101.08	12.13	0.17	0.19	0.04
P341	54:00:00	189.74	305.00	94.64	9.83	0.13	0.14	0.05
P343	54:00:00	111.65	152.00	100.29	1.47	0.08	0.12	0.05
P344	54:00:00	45.26	152.00	85.91	3.21	0.18	0.65	0.06
P346	54:00:00	54.91	51.00	93.91	0.04	0.02	0.03	0.09
P347	54:00:00	385.56	305.00	96.24	23.31	0.32	0.70	0.04
P348	54:00:00	42.47	305.00	88.73	22.74	0.31	0.77	0.05
P349	54:00:00	39.12	305.00	97.01	21.44	0.29	0.59	0.04
P35	54:00:00	64.56	152.00	84.38	1.87	0.10	0.25	0.07
P350	54:00:00	400.16	203.00	99.86	0.34	0.01	1.92e-03	0.07
P37	54:00:00	180.61	203.00	97.80	0.13	3.90e-03	3.12e-04	0.08
P372	54:00:00	6.42	101.60	113.11	0.11	0.01	5.38e-03	0.06
P374	54:00:00	15.83	254.00	91.92	8.53e-05	1.68e-06	1.58e-10	0.28
P375	54:00:00	7.79	254.00	75.49	8.54e-05	1.69e-06	2.28e-10	0.40
P376	54:00:00	6.64	254.00	102.69	4.57e-05	9.02e-07	3.91e-12	0.02
P378	54:00:00	6.47	254.00	112.45	1.57e-05	3.11e-07	0.00	0.00
P379	54:00:00	6.43	254.00	101.78	1.14e-04	2.25e-06	2.24e-10	0.22
P38	54:00:00	169.49	76.00	106.47	0.61	0.13	0.58	0.05
P380	54:00:00	4.79	254.00	87.81	5.12e-05	1.01e-06	5.43e-12	0.03
P381	54:00:00	5.53	304.80	119.21	5.78e-05	7.92e-07	6.27e-12	0.06
P383	54:00:00	19.56	152.00	80.15	2.44	0.13	0.45	0.07
P384	54:00:00	26.14	76.00	101.91	1.78	0.39	4.66	0.05
P385	54:00:00	106.53	305.00	76.02	9.37	0.13	0.20	0.07
P386	54:00:00	8.12	152.00	79.90	2.01	0.11	0.31	0.08
P39	54:00:00	190.12	102.00	95.44	0.23	0.03	0.03	0.07
P397	54:00:00	13.16	203.20	87.43	1.09e-04	3.35e-06	8.06e-10	0.29
P398	54:00:00	6.75	203.20	91.05	7.91e-05	2.44e-06	4.15e-10	0.28
P399	54:00:00	9.71	203.20	81.41	4.94e-05	1.52e-06	2.13e-10	0.37
P40	54:00:00	143.64	102.00	107.91	1.37	0.17	0.62	0.04
P402	54:00:00	6.12	203.20	89.15	2.46e-05	7.58e-07	4.95e-11	0.00
P403	54:00:00	6.86	152.40	111.47	2.95e-05	1.62e-06	1.87e-10	0.21
P409	54:00:00	26.38	152.40	89.90	5.90e-05	3.23e-06	1.00e-09	0.29
P410	54:00:00	7.70	203.20	85.67	2.36e-05	7.29e-07	4.95e-11	0.00
P42	54:00:00	32.93	152.00	114.92	3.08	0.17	0.35	0.04
P424	54:00:00	27.80	203.20	124.99	4.82e-05	1.49e-06	9.22e-11	0.17
P43	54:00:00	36.18	203.00	88.54	0.17	5.12e-03	6.21e-04	0.09
P44	54:00:00	247.65	152.00	115.17	6.10	0.34	1.24	0.03
P443	54:00:00	67.31	305.00	85.58	61.26	0.84	5.19	0.04
P445	54:00:00	7.80	254.00	86.21	83.04	1.64	21.92	0.04
P446	54:00:00	31.15	254.00	102.20	0.00	0.00	0.00	0.00
P450	54:00:00	19.47	254.00	96.97	8.04e-06	1.59e-07	4.45e-13	0.00
P46	54:00:00	70.86	102.00	112.66	0.07	8.77e-03	2.41e-03	0.06
P465	54:00:00	18.20	254.00	86.57	82.59	1.63	21.54	0.04
P467	54:00:00	15.17	254.00	96.15	82.59	1.63	17.73	0.03
P468	54:00:00	31.29	254.00	105.27	2.00e-04	3.94e-06	5.92e-10	0.19
P48	54:00:00	28.98	152.00	113.52	2.72	0.15	0.29	0.04
P482	54:00:00	321.89	152.00	78.90	1.32	0.07	0.15	0.08
P484	54:00:00	336.57	203.00	79.98	23.04	0.71	6.99	0.05
P49	54:00:00	134.92	152.00	121.71	0.45	0.02	8.85e-03	0.04
P492	54:00:00	157.32	101.60	114.11	0.36	0.04	0.05	0.05
P5	54:00:00	588.97	406.00	83.56	3.95	0.03	8.39e-03	0.07
P500	54:00:00	24.23	203.00	112.62	0.23	7.20e-03	7.48e-04	0.06
P501	54:00:00	11.32	152.40	111.45	0.70	0.04	0.02	0.05
P502	54:00:00	9.19	76.20	99.59	0.68	0.15	0.80	0.05
P51	54:00:00	57.47	102.00	92.24	1.62	0.20	1.13	0.06
P510	54:00:00	193.37	102.00	104.95	1.90e-06	2.32e-07	1.52e-12	0.00
P52	54:00:00	83.26	102.00	89.65	0.96	0.12	0.45	0.07
P524	54:00:00	170.54	305.00	96.23	21.03	0.29	0.58	0.04
P527	54:00:00	149.04	305.00	73.12	18.94	0.26	0.79	0.07
P529	54:00:00	212.31	102.00	103.92	0.55	0.07	0.12	0.05
P53	54:00:00	10.32	203.00	87.56	4.78e-05	1.48e-06	1.76e-10	0.32
P54	54:00:00	111.67	51.00	92.40	0.45	0.22	3.08	0.06
P55	54:00:00	99.86	76.00	87.65	1.19	0.26	2.91	0.06
P57	54:00:00	288.77	152.00	99.60	0.70	0.04	0.03	0.06
P58	54:00:00	503.91	102.00	100.85	0.12	0.01	7.60e-03	0.07
P596	54:00:00	76.39	76.00	112.81	1.06	0.23	1.47	0.04
P597	54:00:00	79.68	102.00	101.12	0.30	0.04	0.04	0.06
P6	54:00:00	199.39	152.00	94.65	0.74	0.04	0.04	0.06
P609	54:00:00	86.07	76.00	111.63	1.55	0.34	3.05	0.04
P610	54:00:00	206.58	76.00	95.80	1.61e-06	3.54e-07	7.63e-12	0.00
P63	54:00:00	165.95	254.00	88.73	3.47	0.07	0.06	0.06
P633	54:00:00	173.88	152.00	119.13	3.75	0.21	0.47	0.03
P64	54:00:00	126.63	203.00	80.25	3.01	0.09	0.16	0.07
P65	54:00:00	164.93	102.00	101.95	0.59	0.07	0.14	0.06
P67	54:00:00	330.24	203.00	74.11	2.71	0.08	0.15	0.09
P670	54:00:00	54.41	152.00	98.70	2.45e-07	1.35e-08	3.47e-11	0.00
P671	54:00:00	62.97	152.00	94.84	1.59e-06	8.77e-08	2.75e-13	0.00
P68	54:00:00	302.74	305.00	83.22	0.88	0.01	2.12e-03	0.09
P69	54:00:00	103.63	152.00	72.35	3.60	0.20	1.10	0.08
P697	54:00:00	88.89	102.00	97.76	2.69e-07	3.30e-08	1.95e-13	0.00
P7	54:00:00	60.22	508.00	78.45	56.95	0.28	0.44	0.06
P70	54:00:00	88.36	152.00	72.84	1.62	0.09	0.25	0.09
P71	54:00:00	419.40	254.00	84.73	0.34	6.67e-03	8.47e-04	0.09
P72	54:00:00	247.46	305.00	85.04	3.53	0.05	0.03	0.07
P724	54:00:00	92.72	152.00	96.71	0.27	0.02	5.51e-03	0.07
P725	54:00:00	117.32	152.00	105.29	0.63	0.03	0.02	0.05
P752	54:00:00	70.36	152.00	106.17	12.57	0.69	5.51	0.03
P753	54:00:00	71.91	152.00	89.52	10.87	0.60	5.78	0.05
P754	54:00:00	92.49	51.00	84.83	3.16e-07	1.55e-07	3.00e-12	0.00
P755	54:00:00	47.12	305.00	114.13	0.51	6.99e-03	4.30e-04	0.05
P756	54:00:00	41.66	305.00	107.92	0.57	7.86e-03	5.92e-04	0.06
P757	54:00:00	568.43	305.00	99.83	1.14	0.02	2.43e-03	0.06
P758	54:00:00	102.21	305.00	93.36	1.78	0.02	6.29e-03	0.06
P759	54:00:00	97.19	152.00	104.44	7.63	0.42	2.25	0.04
P760	54:00:00	88.54	152.00	101.85	7.47	0.41	2.27	0.04
P761	54:00:00	171.27	152.00	96.99	7.15	0.39	2.29	0.04
P763	54:00:00	387.59	305.00	112.21	1.17	0.02	2.06e-03	0.05
P766	54:00:00	37.85	152.00	95.04	1.16	0.06	0.08	0.06
P767	54:00:00	227.50	305.00	109.31	2.40	0.03	8.15e-03	0.05
P768	54:00:00	217.03	254.00	116.51	0.56	0.01	1.19e-03	0.05
P769	54:00:00	154.26	305.00	110.62	2.78	0.04	0.01	0.04
P771	54:00:00	69.36	203.00	99.63	0.28	8.68e-03	1.33e-03	0.07
P772	54:00:00	215.02	305.00	85.80	3.54	0.05	0.03	0.07
P775	54:00:00	129.42	203.00	108.38	0.23	7.17e-03	7.98e-04	0.06
P776	54:00:00	421.07	102.00	114.35	0.11	0.01	5.61e-03	0.06
P777	54:00:00	402.31	305.00	111.77	3.79	0.05	0.02	0.04
P779	54:00:00	524.49	203.00	87.91	4.14	0.13	0.24	0.06
P780	54:00:00	153.56	203.00	104.95	1.08e-06	3.33e-08	5.53e-12	0.00
P781	54:00:00	130.18	152.00	90.91	3.13	0.17	0.56	0.06
P783	54:00:00	674.96	203.00	115.08	5.07	0.16	0.22	0.04
P784	54:00:00	88.96	102.00	98.43	0.19	0.02	0.02	0.07
P785	54:00:00	184.71	102.00	89.65	0.45	0.06	0.11	0.07
P786	54:00:00	166.27	203.00	110.00	5.14	0.16	0.24	0.04
P787	54:00:00	127.08	102.00	130.12	9.86	1.21	16.83	0.02
P788	54:00:00	107.85	152.00	113.91	4.12	0.23	0.61	0.04
P789	54:00:00	285.95	203.00	74.97	6.79	0.21	0.82	0.07
P791	54:00:00	82.50	152.00	115.95	3.24	0.18	0.38	0.04
P794	54:00:00	39.04	203.00	123.95	3.11	0.10	0.08	0.03
P795	54:00:00	129.41	203.00	97.78	2.48	0.08	0.08	0.05
P796	54:00:00	22.42	203.00	89.88	6.52e-05	2.02e-06	2.59e-10	0.25
P797	54:00:00	21.64	102.00	117.05	0.54	0.07	0.09	0.04
P798	54:00:00	684.07	203.00	116.09	2.22	0.07	0.05	0.04
P8	54:00:00	11.35	406.00	76.08	60.93	0.47	1.59	0.06
P800	54:00:00	15.93	203.00	109.67	0.82	0.03	8.06e-03	0.05
P801	54:00:00	9.47	203.00	104.47	0.11	3.38e-03	2.12e-04	0.07
P804	54:00:00	68.27	102.00	103.01	1.45	0.18	0.75	0.05
P805	54:00:00	96.57	152.00	114.56	1.77	0.10	0.13	0.04
P806	54:00:00	32.51	152.00	103.90	1.93	0.11	0.18	0.05
P807	54:00:00	162.82	203.00	100.15	0.13	4.15e-03	3.35e-04	0.08
P808	54:00:00	253.47	203.00	92.06	4.56	0.14	0.27	0.05
P809	54:00:00	17.35	102.00	109.35	0.71	0.09	0.18	0.05
P810	54:00:00	64.30	203.00	88.94	1.58e-08	4.88e-10	1.94e-11	0.00
P811	54:00:00	50.17	102.00	89.57	1.16	0.14	0.64	0.06
P813	54:00:00	30.85	152.00	76.04	2.15	0.12	0.39	0.08
P815	54:00:00	50.52	102.00	84.34	2.90	0.35	3.88	0.06
P817	54:00:00	253.30	203.00	72.66	2.09	0.06	0.10	0.09
P819	54:00:00	8.02	203.00	105.07	1.85	0.06	0.04	0.05
P821	54:00:00	64.78	102.00	83.95	0.11	0.01	8.54e-03	0.10
P822	54:00:00	11.71	102.00	99.59	0.73	0.09	0.22	0.06
P823	54:00:00	18.84	76.00	113.36	0.08	0.02	0.01	0.06
P826	54:00:00	335.29	76.00	99.15	0.54	0.12	0.54	0.06
P827	54:00:00	119.07	76.00	103.74	0.53	0.12	0.48	0.05
P83	54:00:00	15.14	610.00	75.66	184.49	0.63	1.72	0.05
P830	54:00:00	89.30	76.00	99.04	0.12	0.03	0.03	0.07
P831	54:00:00	62.20	76.00	86.29	1.40	0.31	4.09	0.06
P84	54:00:00	148.63	203.00	97.41	0.27	8.27e-03	1.26e-03	0.07
P840	54:00:00	235.28	203.00	97.77	3.48	0.11	0.15	0.05
P841	54:00:00	347.83	76.00	93.68	1.30	0.29	3.03	0.06
P842	54:00:00	64.41	52.00	95.52	0.72	0.34	6.26	0.06
P844	54:00:00	12.49	102.00	113.81	0.91	0.11	0.26	0.04
P846	54:00:00	94.84	203.00	103.98	1.69	0.05	0.03	0.05
P847	54:00:00	68.63	152.00	91.07	1.52	0.08	0.15	0.06
P85	54:00:00	36.60	76.00	69.93	0.30	0.07	0.34	0.12
P850	54:00:00	241.13	101.60	112.53	0.74	0.09	0.19	0.04
P851	54:00:00	228.78	76.00	121.93	0.37	0.08	0.18	0.04
P852	54:00:00	40.39	203.00	105.38	3.03	0.09	0.10	0.04
P853	54:00:00	295.68	203.00	118.65	12.92	0.40	1.15	0.03
P855	54:00:00	37.88	102.00	114.85	0.37	0.05	0.05	0.05
P858	54:00:00	195.38	102.00	113.41	0.62	0.08	0.13	0.04
P859	54:00:00	90.81	152.00	95.29	2.63	0.15	0.37	0.05
P86	54:00:00	161.00	305.00	110.50	7.15	0.10	0.06	0.04
P861	54:00:00	110.79	152.00	87.94	0.45	0.02	0.02	0.08
P866	54:00:00	17.37	102.00	92.17	0.73	0.09	0.26	0.06
P87	54:00:00	80.03	203.00	76.40	3.91	0.12	0.29	0.08
P871	54:00:00	48.15	102.00	91.81	0.32	0.04	0.06	0.07
P880	54:00:00	112.84	76.00	86.03	0.24	0.05	0.15	0.08
P889	54:00:00	15.72	203.00	88.74	1.27	0.04	0.03	0.07
P89	54:00:00	104.30	152.00	78.43	1.11	0.06	0.11	0.09
P892	54:00:00	30.39	254.00	69.85	84.02	1.66	33.09	0.06
P9	54:00:00	49.95	254.00	66.75	2.01	0.04	0.04	0.11
P90	54:00:00	98.94	102.00	62.32	0.99	0.12	0.94	0.13
P91	54:00:00	572.34	102.00	94.34	0.24	0.03	0.03	0.07
P914	54:00:00	38.61	203.00	91.18	1.16e-06	3.59e-08	1.93e-11	0.00
P915	54:00:00	10.58	152.00	72.77	2.76	0.15	0.67	0.09
P92	54:00:00	63.12	203.00	83.11	1.10	0.03	0.02	0.08
P924	54:00:00	82.38	254.00	74.46	0.95	0.02	7.24e-03	0.10
P927	54:00:00	348.88	406.00	84.53	0.04	3.14e-04	1.71e-06	0.14
P929	54:00:00	83.31	203.00	90.08	2.37e-05	7.32e-07	4.51e-11	0.00
P930	54:00:00	78.95	203.00	88.20	1.61e-05	4.97e-07	2.19e-13	0.00
P931	54:00:00	248.40	203.00	87.08	1.11e-06	3.41e-08	2.13e-11	0.00
P932	54:00:00	381.56	203.00	84.96	1.47e-06	4.55e-08	8.67e-12	0.00
P933	54:00:00	130.54	305.00	87.95	1.30e-04	1.78e-06	1.53e-10	0.29
P934	54:00:00	18.46	254.00	102.99	1.31e-04	2.58e-06	2.80e-10	0.21
P935	54:00:00	152.13	305.00	100.05	6.91	0.09	0.07	0.05
P937	54:00:00	198.09	254.00	74.28	6.91	0.14	0.29	0.08
P938	54:00:00	168.95	254.00	74.48	5.81	0.11	0.21	0.08
P939	54:00:00	248.76	152.00	95.79	0.16	8.76e-03	2.03e-03	0.08
P94	54:00:00	51.35	305.00	139.08	0.04	5.26e-04	2.47e-06	0.05
P940	54:00:00	187.99	152.00	99.28	0.12	6.70e-03	1.16e-03	0.08
P941	54:00:00	142.58	152.00	79.37	0.02	8.59e-04	3.91e-05	0.16
P942	54:00:00	85.08	152.00	83.59	0.30	0.02	8.51e-03	0.09
P943	54:00:00	84.21	76.00	86.77	0.20	0.04	0.11	0.08
P944	54:00:00	59.58	254.00	82.35	0.90	0.02	5.45e-03	0.09
P946	54:00:00	143.03	102.00	98.06	0.11	0.01	7.37e-03	0.08
P947	54:00:00	122.43	152.00	76.80	0.39	0.02	0.02	0.10
P948	54:00:00	74.71	152.00	104.85	1.00	0.05	0.05	0.05
P949	54:00:00	24.39	254.00	92.69	1.20	0.02	7.51e-03	0.07
P95	54:00:00	50.70	305.00	118.43	0.22	3.01e-03	8.41e-05	0.06
P951	54:00:00	338.80	254.00	94.71	5.69	0.11	0.13	0.05
P953	54:00:00	495.66	254.00	85.41	4.03	0.08	0.08	0.06
P954	54:00:00	294.07	203.00	78.67	0.84	0.03	0.02	0.09
P955	54:00:00	131.74	102.00	85.18	0.16	0.02	0.02	0.09
P956	54:00:00	115.17	152.00	68.25	0.38	0.02	0.02	0.13
P957	54:00:00	51.05	152.00	98.15	0.03	1.61e-03	8.48e-05	0.10
P958	54:00:00	122.41	102.00	105.31	0.15	0.02	0.01	0.06
P959	54:00:00	123.42	102.00	98.22	0.10	0.01	5.49e-03	0.08
P96	54:00:00	53.72	254.00	87.90	83.60	1.65	21.41	0.04
P961	54:00:00	234.55	203.00	85.65	2.28	0.07	0.08	0.07
P962	54:00:00	49.83	152.00	90.75	0.42	0.02	0.01	0.08
P963	54:00:00	93.54	203.00	85.53	4.30	0.13	0.28	0.06
P964	54:00:00	129.91	152.00	96.26	0.79	0.04	0.04	0.06
P965	54:00:00	135.06	203.00	93.94	3.20	0.10	0.13	0.05
P966	54:00:00	31.32	203.00	82.51	2.41	0.07	0.10	0.07
P967	54:00:00	207.54	203.00	82.11	1.68	0.05	0.05	0.08
P968	54:00:00	68.17	102.00	78.40	0.01	1.39e-03	1.55e-04	0.16
P969	54:00:00	149.16	203.00	86.27	1.36	0.04	0.03	0.07
P97	54:00:00	24.41	610.00	88.90	184.56	0.63	1.27	0.04
P970	54:00:00	165.04	203.00	87.80	0.61	0.02	7.00e-03	0.08
P971	54:00:00	136.94	152.00	77.83	0.44	0.02	0.02	0.10
P972	54:00:00	219.42	152.00	82.67	0.36	0.02	0.01	0.09
P973	54:00:00	164.68	203.00	71.93	1.89	0.06	0.08	0.10
P974	54:00:00	186.40	203.00	72.72	1.93	0.06	0.08	0.09
P975	54:00:00	159.56	152.00	74.72	0.53	0.03	0.03	0.10
P976	54:00:00	83.33	76.00	83.20	0.85	0.19	1.72	0.07
P977	54:00:00	45.98	102.00	102.43	0.34	0.04	0.05	0.06
P978	54:00:00	178.97	76.00	78.86	1.50	0.33	5.49	0.07
P98	54:00:00	174.53	610.00	71.75	184.79	0.63	1.90	0.06
P981	54:00:00	36.19	76.00	80.22	2.18	0.48	10.59	0.07
P982	54:00:00	87.24	203.00	98.51	2.07	0.06	0.05	0.05
P983	54:00:00	180.20	101.60	91.90	1.73	0.21	1.29	0.06
P984	54:00:00	16.03	101.60	108.96	0.81	0.10	0.23	0.05
P986	54:00:00	229.54	101.60	87.08	1.19	0.15	0.72	0.07
P987	54:00:00	94.56	101.60	96.41	1.98	0.24	1.53	0.05
P988	54:00:00	9.74	101.60	102.52	3.11	0.38	3.16	0.04
P989	54:00:00	91.59	51.00	82.07	0.05	0.02	0.02	0.04
P99	54:00:00	452.37	508.00	96.64	168.50	0.83	2.25	0.03
P990	54:00:00	78.87	102.00	85.79	0.55	0.07	0.17	0.08
P991	54:00:00	20.25	203.00	74.31	3.90	0.12	0.30	0.08
P992	54:00:00	69.15	203.00	80.64	3.19	0.10	0.18	0.07
P993	54:00:00	63.52	203.00	80.23	2.00	0.06	0.07	0.08
P994	54:00:00	115.39	203.00	83.09	2.31	0.07	0.09	0.07
P995	54:00:00	228.99	152.00	82.50	3.45	0.19	0.80	0.07
P996	54:00:00	10.22	203.00	84.58	0.57	0.02	6.74e-03	0.09
P997	54:00:00	154.87	203.00	96.62	2.68	0.08	0.09	0.05
P998	54:00:00	107.98	203.00	90.64	2.17	0.07	0.07	0.06
P999	54:00:00	81.67	254.00	68.70	0.87	0.02	7.24e-03	0.12
PU1	54:00:00	0.00	0.00	1.00	92.45	0.00	-34.04	0.00
PU2	54:00:00	0.00	0.00	1.00	92.47	0.00	-34.03	0.00
PU3	54:00:00	0.00	0.00	1.00	0.00	0.00	0.00	0.00
PU4	54:00:00	0.00	0.00	1.00	0.00	0.00	0.00	0.00
PU5	54:00:00	0.00	0.00	1.00	0.00	0.00	0.00	0.00
PU6	54:00:00	0.00	0.00	1.00	0.00	0.00	0.00	0.00
PU7	54:00:00	0.00	0.00	1.00	0.00	0.00	0.00	0.00
PU8	54:00:00	0.00	0.00	1.00	0.00	0.00	0.00	0.00
PU9	54:00:00	0.00	0.00	1.00	0.00	0.00	0.00	0.00
PU10	54:00:00	0.00	0.00	1.00	0.00	0.00	0.00	0.00
PU11	54:00:00	0.00	0.00	1.00	0.00	0.00	0.00	0.00
v1	54:00:00	0.00	203.20	131.23	2.39	0.07	48.18	0.00
V45	54:00:00	0.00	152.40	131.23	1.36	0.07	38.01	0.00
V47	54:00:00	0.00	101.60	131.23	1.28	0.16	50.37	0.00
V2	54:00:00	0.00	254.00	-1.00e+10	82.59	1.63	8.89e-08	0.00
P1	55:00:00	52.90	203.00	72.45	0.68	0.02	0.01	0.11
P10	55:00:00	79.23	76.00	108.01	1.14	0.25	1.84	0.04
P100	55:00:00	107.88	406.00	76.51	186.34	1.44	12.44	0.05
P1000	55:00:00	109.27	203.00	76.95	20.45	0.63	6.02	0.06
P101	55:00:00	243.37	254.00	84.21	0.33	6.45e-03	8.06e-04	0.10
P1016	55:00:00	164.77	305.00	85.24	40.14	0.55	2.39	0.05
P102	55:00:00	1.28e+03	508.00	92.95	173.10	0.85	2.54	0.03
P1022	55:00:00	200.76	102.00	99.58	0.12	0.01	7.78e-03	0.07
P1023	55:00:00	136.34	102.00	95.69	0.84	0.10	0.31	0.06
P1024	55:00:00	375.62	102.00	89.62	2.23	0.27	2.13	0.06
P1025	55:00:00	39.18	76.00	97.78	2.59	0.57	10.03	0.05
P1026	55:00:00	45.61	76.00	88.45	1.80	0.40	6.19	0.06
P1027	55:00:00	82.32	51.00	92.01	0.40	0.20	2.46	0.06
P1028	55:00:00	9.57	51.00	86.99	0.06	0.03	0.09	0.09
P1029	55:00:00	122.62	76.00	91.34	0.75	0.16	1.12	0.06
P103	55:00:00	35.98	254.00	79.37	8.58	0.17	0.38	0.07
P1030	55:00:00	95.25	76.00	104.61	1.44	0.32	2.97	0.04
P1031	55:00:00	188.28	152.00	84.37	7.86	0.43	3.52	0.06
P1032	55:00:00	143.29	152.00	98.43	7.41	0.41	2.37	0.04
P1033	55:00:00	128.79	152.00	84.69	7.48	0.41	3.18	0.06
P1034	55:00:00	52.87	203.00	97.42	0.38	0.01	2.40e-03	0.07
P1035	55:00:00	122.47	152.00	97.76	2.54	0.14	0.33	0.05
P1036	55:00:00	83.33	203.00	74.30	6.96	0.22	0.87	0.07
P1039	55:00:00	121.38	203.00	92.14	4.11	0.13	0.22	0.05
P104	55:00:00	33.11	203.00	99.89	0.22	6.93e-03	8.71e-04	0.07
P1040	55:00:00	29.45	152.00	94.69	2.08	0.11	0.24	0.05
P1041	55:00:00	307.54	102.00	112.51	1.82	0.22	0.94	0.04
P1042	55:00:00	84.54	152.00	76.15	1.56	0.09	0.21	0.09
P1044	55:00:00	65.80	203.00	100.22	15.14	0.47	2.11	0.04
P1045	55:00:00	68.63	203.00	118.82	14.92	0.46	1.50	0.03
P106	55:00:00	270.38	102.00	63.55	2.07	0.25	3.52	0.11
P107	55:00:00	357.00	203.00	80.51	5.18	0.16	0.43	0.07
P108	55:00:00	183.53	203.00	78.72	1.78	0.05	0.06	0.08
P109	55:00:00	218.52	203.00	76.89	5.63	0.17	0.55	0.07
P11	55:00:00	83.45	101.60	96.83	0.69	0.09	0.22	0.06
P110	55:00:00	425.83	508.00	98.99	168.06	0.83	2.14	0.03
P111	55:00:00	126.36	152.00	72.41	0.27	0.02	9.43e-03	0.12
P112	55:00:00	646.98	305.00	68.60	0.93	0.01	3.32e-03	0.12
P113	55:00:00	310.73	152.00	85.35	5.67	0.31	1.89	0.06
P115	55:00:00	99.88	102.00	91.23	6.45	0.79	14.79	0.05
